# In this table 2F10 is substituted by 2F0 and 2G10 by 2G0
f1
4F3	3P3	1	-3 -1 0 -1
4F3	3D1	-1	-3 0 0 -2 1
4F3	3D2	-1	4 -1 0 -2
4F3	3F3	1	1 -1 -1
4F3	3F4	0	
4F3	3G1	-1	1 2 -1 -2 -1
4F3	3G2	-1	1 -1 0 -2 0 1
4F3	3G3	1	1 -1 0 0 -1
4F3	3H2	-1	-3 0 0 -1
4F3	3H3	0	
4F3	3H4	1	-3 -1 0 -1 0 1
4F3	3I1	1	-3 0 -1 0 -1 1
4F3	3I2	1	-1 -1 -1 0 -1 1
4F4	5D	1	-3 -3 0 -1 1 1
4F4	5G	-1	-1 -1 1 -1 -1 1
4F4	5I	1	-3 -3 1 1 -1
4F4	3P3	1	-1 0 -1 -1 0 1
4F4	3D1	-1	-3 -1 -1 -2 1 1
4F4	3D2	1	0 0 -1 -2 0 1
4F4	3F3	0	
4F4	3F4	-1	-1 -1 -1
4F4	3G1	1	-1 1 0 -2 -1 1
4F4	3G2	-1	3 0 -1 -2
4F4	3G3	1	-1 0 -1 0 -1 1
4F4	3H3	-1	0 -1 -1
4F4	3H4	-1	-1 0 -1 -1
4F4	3I1	-1	-3 -1 0 0 -1
4F4	3I2	-1	1 0 0 0 -1
4G1	5D	-1	-5 -1 1 -1 1
4G1	5F	1	-5
4G1	5G	1	-5 0 3 -1 -1
4G1	5I	-1	-5 -1 0 1 -1 1
4G1	3P1	1	1 0 -2 -1 1
4G1	3P2	1	-3 -2 -2 -1 1
4G1	3P3	1	-1 -2 0 -1
4G1	3D1	-1	-5 -1 0 -2 1
4G1	3D2	-1	2 -2 0 -2
4G1	3F1	-1	3 -1 -2
4G1	3F2	-1	-5 -3 -2
4G1	3F3	-1	1 -2 -1 0 -1
4G1	3F4	-1	-1 -3 0 0 -1 1
4G1	3G1	1	-5 0 2 -2 -1
4G1	3G2	-1	1 -1 -1 -2 0 1
4G1	3G3	-1	-1 -1 -1 0 -1
4G1	3H1	-1	1 -1 -1 -1 0 1
4G1	3H2	-1	-3 -3 -1 -1 0 1
4G1	3H3	-1	2 -3 -1
4G1	3H4	1	-1 0 -1 -1
4G1	3I1	-1	-5 -1 -1 0 -1 1
4G1	3I2	-1	1 -2 -1 0 -1 1
4G1	3K1	1	2 -2 0 0 -1
4G1	3K2	1	-2 -2 0 0 -1 0 1
4G2	5D	1	-5 -1 1 -2 1
4G2	5F	1	-5 0 0 1
4G2	5G	-1	-5 0 3 -2 -1
4G2	5I	1	-5 -1 0 0 -1 1
4G2	3P2	1	-3 0 0 -2 1
4G2	3P3	1	-1 0 0 -2
4G2	3D1	1	-5 -1 0 -3 1 0 2
4G2	3D2	1	2 0 0 -3
4G2	3F2	1	-5 -1 0 1
4G2	3F3	1	1 0 -1 -1 -1
4G2	3F4	-1	-1 -1 0 -1 -1 1
4G2	3G1	-1	-5 0 2 -3 -1 0 2
4G2	3G2	1	1 1 -1 -3 0 1
4G2	3G3	-1	-1 1 -1 -1 -1
4G2	3H2	-1	-3 -1 1 -2 0 1
4G2	3H3	1	2 -1 -1 -1
4G2	3H4	1	-1 2 -1 -2
4G2	3I1	1	-5 -1 -1 -1 -1 1 2
4G2	3I2	-1	1 0 -1 -1 -1 1
4G2	3K1	-1	2 0 0 -1 -1
4G2	3K2	1	-2 0 0 -1 -1 0 1
4G3	5D	1	-3 -2 0 -2 0 1
4G3	5G	1	1 -1 0 -2 0 1
